epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,78.4841,0.94439,1.03863,1.07893,0.38287,0.41248,0.35894,0.24464,0.81796,3.292,0.98363,0.000429068,0.000429068,0.000429068
64,80.0614,1.00409,1.03482,1.07121,0.36748,0.38624,0.36352,0.24745,0.81621,3.12569,0.98201,0.000418069,0.000418069,0.000418069
65,81.5795,0.9786,1.00392,1.08806,0.39893,0.35848,0.37491,0.26222,0.79984,2.95625,0.97053,0.00040707,0.00040707,0.00040707
66,82.8619,1.0114,1.03527,1.04253,0.3792,0.37258,0.37627,0.25643,0.78845,2.94191,0.97067,0.000396071,0.000396071,0.000396071
67,84.1969,0.98253,1.0901,1.07672,0.34402,0.44871,0.36591,0.24851,0.79365,3.32346,0.98354,0.000385073,0.000385073,0.000385073
68,85.5642,1.01215,1.03781,1.07733,0.382,0.37156,0.34741,0.23801,0.81111,3.66982,0.99635,0.000374074,0.000374074,0.000374074
69,86.8782,0.95171,1.00506,1.07897,0.41349,0.37534,0.34609,0.24214,0.79525,3.72149,0.9922,0.000363075,0.000363075,0.000363075
70,88.1383,0.85966,1.03066,0.9978,0.41607,0.37614,0.34649,0.2534,0.77148,3.63946,0.97299,0.000352076,0.000352076,0.000352076
71,89.3427,0.95928,1.08821,1.06203,0.37692,0.4026,0.35226,0.2546,0.75825,3.42804,0.95874,0.000341077,0.000341077,0.000341077
72,90.6027,0.9254,0.88796,1.03175,0.33374,0.4158,0.36084,0.26151,0.76129,3.1293,0.9632,0.000330078,0.000330078,0.000330078
73,91.8592,0.92559,0.94826,1.02421,0.41646,0.34631,0.37117,0.26409,0.77145,2.75893,0.96241,0.000319079,0.000319079,0.000319079
74,92.9878,0.87837,0.86391,1.01159,0.43993,0.37746,0.37754,0.27434,0.78795,2.48633,0.96045,0.00030808,0.00030808,0.00030808
75,94.2456,0.87903,0.93589,1.03938,0.38427,0.45682,0.37774,0.27283,0.78423,2.49839,0.96105,0.000297081,0.000297081,0.000297081
76,95.5072,0.87904,0.91277,1.04915,0.38187,0.43972,0.37051,0.26796,0.73947,2.83405,0.94898,0.000286083,0.000286083,0.000286083
77,96.7068,0.8549,0.91806,1.05439,0.3934,0.4599,0.35554,0.2586,0.7092,3.26743,0.93968,0.000275084,0.000275084,0.000275084
78,97.9596,0.91467,0.92715,1.06786,0.39745,0.46211,0.35652,0.26545,0.70216,3.54809,0.93151,0.000264085,0.000264085,0.000264085
79,99.2712,0.92534,0.92934,1.0872,0.37868,0.43029,0.361,0.27246,0.71316,3.68493,0.93051,0.000253086,0.000253086,0.000253086
80,100.476,0.78045,0.92842,0.97306,0.38151,0.42993,0.35372,0.27128,0.72973,3.71908,0.93477,0.000242087,0.000242087,0.000242087
81,101.721,0.81879,0.88657,1.00672,0.38036,0.42084,0.35146,0.28132,0.73307,3.65553,0.93674,0.000231088,0.000231088,0.000231088
82,102.991,0.89226,0.98191,1.00212,0.37196,0.40346,0.34349,0.27234,0.73542,3.62526,0.93599,0.000220089,0.000220089,0.000220089
83,104.18,0.87613,0.9413,1.05566,0.36207,0.38525,0.3378,0.26894,0.74537,3.58707,0.94069,0.00020909,0.00020909,0.00020909
84,105.388,0.84201,0.87183,1.02664,0.35994,0.38496,0.33622,0.27815,0.76542,3.56247,0.95511,0.000198091,0.000198091,0.000198091
